,year,month,tem
143,2011,12,4.019650067294751
144,2012,1,2.865725806451613
145,2012,2,2.953956834532374
146,2012,3,9.024489795918367
147,2012,4,17.94979137691238
148,2012,5,21.72772543741588
149,2012,6,25.59568845618915
150,2012,7,29.581940700808627
151,2012,8,27.95114401076716
152,2012,9,21.966805555555556
153,2012,10,17.933647375504712
154,2012,11,9.810629370629371
155,2012,12,3.4456140350877194
156,2013,1,3.1042349726775957
157,2013,2,5.616892911010558
158,2013,3,10.918579234972679
159,2013,4,15.95063649222065
160,2013,5,21.787886944818304
161,2013,6,24.50990237099024
162,2013,7,30.47563930013459
163,2013,8,30.764064602960968
164,2013,9,23.536022253129346
165,2013,10,17.92543741588156
166,2013,11,11.45980528511822
167,2013,12,3.938088829071332
168,2014,1,5.489203778677463
169,2014,2,4.706716417910448
170,2014,3,11.897308209959622
171,2014,4,16.261838440111422
172,2014,5,22.543108108108108
173,2014,6,24.740947075208915
174,2014,7,27.245702592087316
175,2014,8,25.399596231493945
176,2014,9,23.102228412256267
177,2014,10,18.65735492577598
178,2014,11,12.134027777777778
179,2014,12,4.18544474393531
180,2015,1,4.774059139784947
181,2015,2,6.221577380952381
182,2015,3,10.877523553162854
183,2015,4,13.2625
184,2015,5,21.5233153638814
185,2015,6,24.207361111111112
186,2015,7,26.516263440860218
187,2015,8,27.31413189771198
188,2015,9,23.407649513212796
189,2015,10,18.053970390309555
190,2015,11,11.629027777777777
191,2015,12,6.116846361185983
192,2016,1,3.066263440860215
193,2016,2,6.710703812316716
194,2016,3,11.321614227086183
195,2016,4,17.531615598885793
196,2016,5,20.139622641509433
197,2016,6,23.794575799721834
198,2016,7,29.016263440860218
199,2016,8,29.262180349932702
200,2016,9,23.95549374130737
201,2016,10,18.11424731182796
202,2016,11,11.22664796633941
203,2016,12,7.11505376344086
204,2017,1,5.388617886178862
205,2017,2,6.402529761904762
206,2017,3,10.38024193548387
207,2017,4,17.82
208,2017,5,22.76075268817204
209,2017,6,24.818258426966292
210,2017,7,30.818145161290325
211,2017,8,28.304471544715447
212,2017,9,23.184679665738162
213,2017,10,16.905114401076716
214,2017,11,12.081678321678321
215,2017,12,5.2656796769851955
216,2018,1,2.068548387096774
217,2018,2,4.677678571428571
218,2018,3,12.41263440860215
219,2018,4,18.009999999999998
220,2018,5,22.301759133964815
221,2018,6,25.971349095966623
222,2018,7,29.613269493844047
223,2018,8,29.206224627875507
224,2018,9,24.47391304347826
225,2018,10,17.418194254445964
226,2018,11,12.752014010507882
227,2018,12,5.706317204301075
228,2019,1,4.038440860215053
229,2019,2,4.484202682563338
230,2019,3,11.784174624829468
231,2019,4,17.00861111111111
232,2019,5,21.713643410852715
233,2019,6,25.400277777777777
234,2019,7,28.428763440860216
235,2019,8,28.675471698113206
236,2019,9,24.133005617977528
237,2019,10,18.61506105834464
238,2019,11,13.090691114245416
239,2019,12,6.906747638326586
